4046,4225,4770,AveragePrice,Date,Large Bags,Small Bags,Total Bags,Total Volume,Unnamed: 0,XLarge Bags,region,type,year
140979.17,243233.57,891.6,2.0,9/17/2017,107163.76,582096.9,689301.75,1074567.7,15.0,41.09,TotalUS,Organic,2017
114942.21,249231.14,940.89,2.03,9/10/2017,106080.9,622445.79,728658.92,1093955.66,16.0,132.23,TotalUS,Organic,2017
113516.0,256920.07,2256.96,2.06,9/3/2017,130801.89,571725.58,702628.91,1075538.53,17.0,101.44,TotalUS,Organic,2017
112812.39,250861.84,2119.14,2.09,8/27/2017,91249.96,588832.95,680088.21,1045992.02,18.0,5.3,TotalUS,Organic,2017
108658.66,262747.8,1154.19,1.96,8/20/2017,89904.05,608822.05,698734.9,1071538.25,19.0,8.8,TotalUS,Organic,2017
98007.24,230106.14,1414.21,1.88,8/13/2017,72449.02,612544.62,684998.04,1014709.07,20.0,4.4,TotalUS,Organic,2017
112592.04,236015.15,1552.51,1.83,8/6/2017,111139.48,598479.83,709619.31,1059971.14,21.0,0.0,TotalUS,Organic,2017
100332.24,270534.58,2135.74,1.78,7/30/2017,123903.23,594392.07,718295.3,1091590.78,22.0,0.0,TotalUS,Organic,2017
113467.66,317184.04,3700.92,1.76,7/23/2017,154712.59,624771.07,779486.6,1214158.19,23.0,2.94,TotalUS,Organic,2017
94267.55,311432.79,4766.71,1.78,7/16/2017,137751.06,596197.98,733949.04,1148354.84,24.0,0.0,TotalUS,Organic,2017
109023.66,333458.24,3424.69,1.71,7/9/2017,198548.78,485919.33,684468.11,1130374.7,25.0,0.0,TotalUS,Organic,2017
128156.1,360890.48,3393.83,1.74,7/2/2017,221071.54,459881.11,680952.65,1173393.06,26.0,0.0,TotalUS,Organic,2017
123317.1,341073.87,2613.51,1.77,6/25/2017,222027.88,411977.56,634005.44,1101009.92,27.0,0.0,TotalUS,Organic,2017
169434.58,442594.36,2140.13,1.71,6/18/2017,255235.16,435150.06,690385.22,1304554.29,28.0,0.0,TotalUS,Organic,2017
160841.97,339777.07,3623.46,1.56,6/11/2017,425049.35,468156.32,893205.67,1397448.17,29.0,0.0,TotalUS,Organic,2017
165665.93,387057.95,2865.59,1.64,6/4/2017,272090.52,525280.48,797371.0,1352960.47,30.0,0.0,TotalUS,Organic,2017
163384.37,357431.2,3195.15,1.69,5/28/2017,280346.81,497848.02,778194.83,1302205.55,31.0,0.0,TotalUS,Organic,2017
166985.41,351498.5,4322.99,1.71,5/21/2017,251528.03,436225.68,687753.71,1210560.61,32.0,0.0,TotalUS,Organic,2017
164697.92,339920.6,4618.45,1.55,5/14/2017,299025.31,566862.84,865888.15,1375125.12,33.0,0.0,TotalUS,Organic,2017
172722.76,386288.18,4161.33,1.57,5/7/2017,341497.99,489455.97,830953.96,1394126.23,34.0,0.0,TotalUS,Organic,2017
199039.61,421709.78,5187.46,1.68,4/30/2017,221708.51,400529.93,622238.44,1248175.29,35.0,0.0,TotalUS,Organic,2017
152604.41,347557.13,3245.62,1.61,4/23/2017,226663.15,460390.87,687054.02,1190461.18,36.0,0.0,TotalUS,Organic,2017
176684.11,437947.67,5096.43,1.49,4/16/2017,297064.77,576538.3,873603.07,1493331.28,37.0,0.0,TotalUS,Organic,2017
148803.12,362152.44,8972.11,1.43,4/9/2017,354787.34,512721.31,867508.65,1387436.32,38.0,0.0,TotalUS,Organic,2017
183101.86,430841.87,3767.76,1.42,4/2/2017,317159.0,557296.92,874455.92,1492167.41,39.0,0.0,TotalUS,Organic,2017
160491.66,355541.13,3888.05,1.29,3/26/2017,475066.98,586139.54,1061206.52,1581127.36,40.0,0.0,TotalUS,Organic,2017
172196.56,411359.03,3304.62,1.5,3/19/2017,211057.05,486101.39,697158.44,1284018.65,41.0,0.0,TotalUS,Organic,2017
152896.45,330081.75,3188.52,1.38,3/12/2017,360394.22,491035.95,851430.17,1337596.89,42.0,0.0,TotalUS,Organic,2017
184006.16,374220.48,2542.94,1.16,3/5/2017,561530.39,497098.27,1058628.66,1619398.24,43.0,0.0,TotalUS,Organic,2017
150448.17,368526.18,3747.77,1.21,2/26/2017,408900.73,505040.3,913941.03,1436663.15,44.0,0.0,TotalUS,Organic,2017
250591.21,632101.53,3295.09,1.31,2/19/2017,314962.41,433926.87,748889.28,1634877.11,45.0,0.0,TotalUS,Organic,2017
136636.34,297764.4,3486.2,1.41,2/12/2017,212220.78,410668.26,622889.04,1060775.98,46.0,0.0,TotalUS,Organic,2017
136100.39,314011.26,2238.78,1.36,2/5/2017,220565.28,342705.32,563270.6,1015621.03,47.0,0.0,TotalUS,Organic,2017
131808.29,292584.44,3524.96,1.43,1/29/2017,178896.5,346391.91,525288.41,953206.1,48.0,0.0,TotalUS,Organic,2017
115700.02,281786.33,6707.82,1.37,1/22/2017,188282.91,401805.9,590088.81,994282.98,49.0,0.0,TotalUS,Organic,2017
121132.79,280287.84,8750.08,1.44,1/15/2017,165261.11,400292.46,565553.57,975724.28,50.0,0.0,TotalUS,Organic,2017
117721.87,283532.68,8697.35,1.43,1/8/2017,201681.74,379088.19,580769.93,990721.83,51.0,0.0,TotalUS,Organic,2017
99820.77,273329.61,4425.75,1.48,1/1/2017,157939.75,273456.0,431395.75,808971.88,52.0,0.0,TotalUS,Organic,2017
26883.07,53165.3,86.61,1.48,12/31/2017,82977.6,66254.72,149342.09,229477.07,0.0,109.77,West,Organic,2017
30630.73,38800.38,84.09,1.66,12/24/2017,72367.24,90385.44,162880.78,232395.98,1.0,128.1,West,Organic,2017
27144.23,47290.74,92.17,1.49,12/17/2017,60883.34,117225.16,178227.47,252754.61,2.0,118.97,West,Organic,2017
19393.44,62916.63,117.57,1.36,12/10/2017,149600.21,81413.7,231258.67,313686.31,3.0,244.76,West,Organic,2017
20229.67,51602.11,94.33,1.5,12/3/2017,104996.81,70432.66,175588.19,247514.3,4.0,158.72,West,Organic,2017
19932.06,35313.11,178.4,1.76,11/26/2017,65168.89,56364.39,121799.07,177222.64,5.0,265.79,West,Organic,2017
19683.27,31559.25,69.86,1.96,11/19/2017,40770.88,60158.89,101119.35,152431.73,6.0,189.58,West,Organic,2017
20429.3,29316.64,61.67,1.95,11/12/2017,36581.15,64189.33,100786.87,150594.48,7.0,16.39,West,Organic,2017
19917.54,26607.93,57.58,2.13,11/5/2017,32599.13,59737.21,92372.05,138955.1,8.0,35.71,West,Organic,2017
20936.88,28269.2,60.13,2.16,10/29/2017,34166.43,64497.41,98744.01,148010.22,9.0,80.17,West,Organic,2017
23092.88,31148.28,120.28,2.0,10/22/2017,34775.7,79759.6,114593.21,168954.65,10.0,57.91,West,Organic,2017
31939.47,25749.52,162.84,2.08,10/15/2017,39087.96,77304.07,116399.45,174251.28,11.0,7.42,West,Organic,2017
25306.59,26921.31,62.43,2.37,10/8/2017,35461.95,65388.81,100896.51,153186.84,12.0,45.75,West,Organic,2017
16845.73,24294.75,25.18,2.45,10/1/2017,36434.83,44948.19,81459.6,122625.26,13.0,76.58,West,Organic,2017
17650.08,22295.44,42.34,2.4,9/24/2017,31209.23,40018.26,71333.33,111321.19,14.0,105.84,West,Organic,2017
22989.15,25396.53,55.47,2.4,9/17/2017,30664.81,60324.57,91030.47,139471.62,15.0,41.09,West,Organic,2017
21079.04,30452.07,74.05,2.46,9/10/2017,35933.2,61940.51,98005.94,149611.1,16.0,132.23,West,Organic,2017
19509.0,32862.27,50.28,2.52,9/3/2017,39324.06,51643.01,91068.51,143490.06,17.0,101.44,West,Organic,2017
23404.34,32438.46,68.4,2.51,8/27/2017,33792.49,65124.7,98917.19,154828.39,18.0,0.0,West,Organic,2017
19612.76,39964.08,89.75,2.46,8/20/2017,28728.57,50741.24,79478.61,139145.2,19.0,8.8,West,Organic,2017
26941.72,37508.97,108.24,2.24,8/13/2017,36794.47,56351.71,93150.58,157709.51,20.0,4.4,West,Organic,2017
42641.59,42953.57,315.01,2.1,8/6/2017,35875.76,56820.93,92696.69,178606.86,21.0,0.0,West,Organic,2017
35365.17,51355.3,701.35,2.1,7/30/2017,32779.21,60487.85,93267.06,180688.88,22.0,0.0,West,Organic,2017
29482.82,57477.12,1244.18,2.16,7/23/2017,37715.36,36399.26,74117.56,162321.68,23.0,2.94,West,Organic,2017
20505.23,50838.62,1247.45,2.22,7/16/2017,46231.75,32458.05,78689.8,151281.1,24.0,0.0,West,Organic,2017
36979.31,62194.83,199.61,1.85,7/9/2017,67143.02,36610.96,103753.98,203127.73,25.0,0.0,West,Organic,2017
45612.22,67692.06,162.23,1.88,7/2/2017,64728.91,34000.74,98729.65,212196.16,26.0,0.0,West,Organic,2017
30258.04,67981.62,110.31,1.93,6/25/2017,60380.0,30115.47,90495.47,188845.44,27.0,0.0,West,Organic,2017
37443.94,48934.78,159.38,1.68,6/18/2017,97240.61,31850.15,129090.76,215628.86,28.0,0.0,West,Organic,2017
52927.66,47810.13,209.8,1.59,6/11/2017,129602.19,29519.07,159121.26,260068.85,29.0,0.0,West,Organic,2017
46575.21,50359.11,146.97,1.52,6/4/2017,134511.34,31550.55,166061.89,263143.18,30.0,0.0,West,Organic,2017
64107.88,52767.88,461.27,1.48,5/28/2017,136873.51,22367.6,159241.11,276578.14,31.0,0.0,West,Organic,2017
72450.49,48371.97,249.55,1.52,5/21/2017,111355.9,19903.15,131259.05,252331.06,32.0,0.0,West,Organic,2017
64155.43,54107.85,268.13,1.1,5/14/2017,167919.06,160414.47,328333.53,446864.94,33.0,0.0,West,Organic,2017
85438.01,70952.57,396.53,1.19,5/7/2017,201275.35,84763.47,286038.82,442825.93,34.0,0.0,West,Organic,2017
61897.14,51045.63,294.91,1.4,4/30/2017,108945.53,37095.98,146041.51,259279.19,35.0,0.0,West,Organic,2017
43410.75,50687.37,368.72,1.26,4/23/2017,109966.34,92126.06,202092.4,296559.24,36.0,0.0,West,Organic,2017
47412.22,51720.12,200.73,1.23,4/16/2017,113362.63,116527.51,229890.14,329223.21,37.0,0.0,West,Organic,2017
36813.79,54408.17,176.1,1.18,4/9/2017,112374.83,145063.53,257438.36,348836.42,38.0,0.0,West,Organic,2017
34093.33,58330.53,207.85,0.98,4/2/2017,154343.11,155701.41,310044.52,402676.23,39.0,0.0,West,Organic,2017
36169.35,51398.72,139.55,0.9,3/26/2017,216778.76,152159.53,368938.29,456645.91,40.0,0.0,West,Organic,2017
38225.62,50707.86,64.73,1.24,3/19/2017,79398.0,106162.68,185560.68,274558.89,41.0,0.0,West,Organic,2017
45583.97,54904.68,102.54,1.16,3/12/2017,94844.16,112615.83,207459.99,308051.18,42.0,0.0,West,Organic,2017
61166.48,55123.99,126.8,0.99,3/5/2017,138257.71,112844.19,251101.9,367519.17,43.0,0.0,West,Organic,2017
43171.62,63444.18,108.13,1.14,2/26/2017,102468.92,99636.02,202104.94,308828.87,44.0,0.0,West,Organic,2017
40585.46,48454.22,90.63,1.49,2/19/2017,63409.89,62154.02,125563.91,214694.22,45.0,0.0,West,Organic,2017
43227.87,61842.48,104.08,1.52,2/12/2017,45600.66,63558.21,109158.87,214333.3,46.0,0.0,West,Organic,2017
35703.61,46107.73,71.74,1.15,2/5/2017,103873.71,41936.54,145810.25,227693.33,47.0,0.0,West,Organic,2017
38850.43,44464.74,109.61,1.29,1/29/2017,84650.62,37767.77,122418.39,205843.17,48.0,0.0,West,Organic,2017
32006.16,45982.34,70.4,1.2,1/22/2017,84763.43,45987.98,130751.41,208810.31,49.0,0.0,West,Organic,2017
43816.58,41834.41,471.92,1.06,1/15/2017,119810.2,62810.0,182620.2,268743.11,50.0,0.0,West,Organic,2017
29794.9,45439.29,125.69,1.09,1/8/2017,150978.8,41364.31,192343.11,267702.99,51.0,0.0,West,Organic,2017
20783.06,35758.45,36.46,1.19,1/1/2017,99124.23,33998.5,133122.73,189700.7,52.0,0.0,West,Organic,2017
1909.33,3538.48,60.91,1.62,12/31/2017,222.36,10821.63,11043.99,16552.71,0.0,0.0,WestTexNewMexico,Organic,2017
1904.47,2246.26,0.0,1.85,12/24/2017,354.48,12235.55,12590.03,16740.76,1.0,0.0,WestTexNewMexico,Organic,2017
1314.05,2079.36,0.0,1.78,12/17/2017,51.6,11964.2,12015.8,15409.21,2.0,0.0,WestTexNewMexico,Organic,2017
1220.08,2293.05,0.0,1.65,12/10/2017,187.17,10928.4,11115.57,14628.7,3.0,0.0,WestTexNewMexico,Organic,2017
1768.49,2732.92,0.0,1.55,12/3/2017,225.34,9002.58,9227.92,13729.33,4.0,0.0,WestTexNewMexico,Organic,2017
2030.64,2072.44,0.0,1.91,11/26/2017,38.28,7049.99,7088.27,11191.35,5.0,0.0,WestTexNewMexico,Organic,2017
1771.38,2580.56,0.0,1.88,11/19/2017,227.61,9649.27,9876.88,14228.82,6.0,0.0,WestTexNewMexico,Organic,2017
1743.38,2795.92,0.0,1.8,11/12/2017,303.91,10827.23,11131.14,15670.44,7.0,0.0,WestTexNewMexico,Organic,2017
2012.76,1503.09,0.0,1.74,11/5/2017,86.66,8566.79,8653.45,12169.3,8.0,0.0,WestTexNewMexico,Organic,2017
1424.2,1259.66,0.0,1.89,10/29/2017,168.43,9071.16,9268.42,11952.28,9.0,28.83,WestTexNewMexico,Organic,2017
2207.98,3361.12,14.39,1.81,10/22/2017,137.69,9703.2,9840.89,15424.38,10.0,0.0,WestTexNewMexico,Organic,2017
1785.17,935.45,0.0,2.07,10/15/2017,137.97,6717.22,6855.19,9575.81,11.0,0.0,WestTexNewMexico,Organic,2017
1952.2,2235.24,0.0,2.39,10/8/2017,234.51,6542.72,6777.23,10964.67,12.0,0.0,WestTexNewMexico,Organic,2017
1474.43,1689.97,0.0,2.37,10/1/2017,69.5,5639.42,5708.92,8873.32,13.0,0.0,WestTexNewMexico,Organic,2017
1545.34,2234.23,0.0,2.26,9/24/2017,26.67,5722.4,5749.07,9528.64,14.0,0.0,WestTexNewMexico,Organic,2017
1845.14,2819.17,0.0,2.36,9/17/2017,3.33,5796.65,5799.98,10464.29,15.0,0.0,WestTexNewMexico,Organic,2017
1562.1,4565.41,0.0,2.38,9/10/2017,9.84,5719.96,5729.8,11857.31,16.0,0.0,WestTexNewMexico,Organic,2017
927.27,4056.73,0.0,2.39,9/3/2017,44.29,2629.18,2673.47,7657.47,17.0,0.0,WestTexNewMexico,Organic,2017
2616.96,3672.96,0.0,2.5,8/27/2017,31.43,9816.58,9848.01,16137.93,18.0,0.0,WestTexNewMexico,Organic,2017
1665.31,3993.41,0.0,2.43,8/20/2017,119.3,5010.27,5129.57,10788.29,19.0,0.0,WestTexNewMexico,Organic,2017
1182.39,3688.93,11.24,2.01,8/13/2017,149.84,3403.12,3552.96,8435.52,20.0,0.0,WestTexNewMexico,Organic,2017
2134.24,4592.66,331.6,1.78,8/6/2017,12.81,8171.22,8184.03,15242.53,21.0,0.0,WestTexNewMexico,Organic,2017
2618.13,3169.61,1056.54,1.67,7/30/2017,55.44,10733.97,10789.41,17633.69,22.0,0.0,WestTexNewMexico,Organic,2017
1832.11,4752.03,1914.09,1.6,7/23/2017,68.14,10577.95,10646.09,19144.32,23.0,0.0,WestTexNewMexico,Organic,2017
1763.86,4382.01,2211.74,1.6,7/16/2017,116.99,10652.21,10769.2,19126.81,24.0,0.0,WestTexNewMexico,Organic,2017
2295.76,3701.18,38.67,1.65,7/9/2017,571.09,11637.39,12208.48,18244.09,25.0,0.0,WestTexNewMexico,Organic,2017
2454.99,3470.63,0.0,1.59,7/2/2017,4170.19,10390.44,14560.63,20486.25,26.0,0.0,WestTexNewMexico,Organic,2017
3042.11,3588.46,0.0,1.66,6/11/2017,6782.35,7757.19,14539.54,21170.11,27.0,0.0,WestTexNewMexico,Organic,2017
3305.88,3706.22,0.0,1.59,6/4/2017,10219.71,8654.49,18874.2,25886.3,28.0,0.0,WestTexNewMexico,Organic,2017
2703.95,4148.35,11.11,1.65,5/28/2017,6690.66,5244.73,11935.39,18798.8,29.0,0.0,WestTexNewMexico,Organic,2017
3988.8,5269.43,16.64,1.73,5/21/2017,3251.02,4373.14,7624.16,16899.03,30.0,0.0,WestTexNewMexico,Organic,2017
5410.04,5406.61,0.0,1.77,5/14/2017,3116.58,4198.56,7315.14,18131.79,31.0,0.0,WestTexNewMexico,Organic,2017
3986.53,4485.2,22.54,1.74,5/7/2017,2868.99,5333.82,8202.81,16697.08,32.0,0.0,WestTexNewMexico,Organic,2017
1763.36,5824.8,2.82,1.76,4/30/2017,3580.87,4515.13,8096.0,15686.98,33.0,0.0,WestTexNewMexico,Organic,2017
1758.8,7535.06,16.99,1.63,4/23/2017,4393.02,5530.18,9923.2,19234.05,34.0,0.0,WestTexNewMexico,Organic,2017
2233.24,4805.48,17.29,1.23,4/16/2017,1267.63,21441.99,22709.62,29765.63,35.0,0.0,WestTexNewMexico,Organic,2017
2386.19,3749.72,34.72,1.19,4/9/2017,135.02,24193.63,24328.65,30499.28,36.0,0.0,WestTexNewMexico,Organic,2017
2551.72,2586.16,11.61,1.04,4/2/2017,387.0,23267.01,23654.01,28803.5,37.0,0.0,WestTexNewMexico,Organic,2017
3041.33,3451.21,66.76,1.11,3/26/2017,322.51,25191.62,25514.13,32073.43,38.0,0.0,WestTexNewMexico,Organic,2017
4255.75,3855.69,11.67,1.11,3/19/2017,5366.46,13278.06,18644.52,26767.63,39.0,0.0,WestTexNewMexico,Organic,2017
3289.27,3877.22,26.38,1.15,3/12/2017,1449.03,17880.59,19329.62,26522.49,40.0,0.0,WestTexNewMexico,Organic,2017
2292.42,4876.69,52.82,1.23,3/5/2017,632.48,17114.89,17747.37,24969.3,41.0,0.0,WestTexNewMexico,Organic,2017
3021.26,15568.68,11.77,1.16,2/26/2017,153.6,20299.52,20453.12,39054.83,42.0,0.0,WestTexNewMexico,Organic,2017
2208.27,5671.84,35.6,1.24,2/19/2017,40.69,17821.27,17861.96,25777.67,43.0,0.0,WestTexNewMexico,Organic,2017
2248.71,9177.71,37.92,1.4,2/12/2017,156.97,16570.14,16727.11,28191.45,44.0,0.0,WestTexNewMexico,Organic,2017
2161.38,5646.59,11.84,1.31,2/5/2017,184.14,13372.37,13556.51,21376.32,45.0,0.0,WestTexNewMexico,Organic,2017
1486.34,4498.48,26.12,1.3,1/29/2017,6.67,11821.76,11828.43,17839.37,46.0,0.0,WestTexNewMexico,Organic,2017
1413.93,2820.53,20.25,1.21,1/22/2017,102.86,12073.07,12175.93,16430.64,47.0,0.0,WestTexNewMexico,Organic,2017
1203.87,2904.22,23.07,1.19,1/15/2017,406.5,12476.57,12883.07,17014.23,48.0,0.0,WestTexNewMexico,Organic,2017
1327.98,2617.2,5.75,1.18,1/8/2017,140.61,10283.85,10424.46,14375.39,49.0,0.0,WestTexNewMexico,Organic,2017
867.66,3434.02,37.3,1.28,1/1/2017,153.01,10815.88,10968.89,15307.87,50.0,0.0,WestTexNewMexico,Organic,2017
42.95,272.41,0.0,1.71,3/25/2018,10.0,1996.46,2006.46,2321.82,0.0,0.0,Albany,Organic,2018
275.89,297.96,0.0,1.66,3/18/2018,3.33,2577.27,2580.6,3154.45,1.0,0.0,Albany,Organic,2018
131.67,229.56,0.0,1.68,3/11/2018,0.0,2209.29,2209.29,2570.52,2.0,0.0,Albany,Organic,2018
311.55,296.77,0.0,1.48,3/4/2018,3.33,3239.65,3242.98,3851.3,3.0,0.0,Albany,Organic,2018
816.56,532.59,0.0,1.56,2/25/2018,0.0,4007.48,4007.48,5356.63,4.0,0.0,Albany,Organic,2018
4314.3,251.85,0.0,1.43,2/18/2018,0.0,3000.02,3000.02,7566.17,5.0,0.0,Albany,Organic,2018
59.18,289.85,0.0,1.43,2/11/2018,0.0,3468.9,3468.9,3817.93,6.0,0.0,Albany,Organic,2018
118.38,420.36,0.0,1.52,2/4/2018,0.0,3586.22,3586.22,4124.96,7.0,0.0,Albany,Organic,2018
433.66,374.96,0.0,1.32,1/28/2018,0.0,6178.94,6178.94,6987.56,8.0,0.0,Albany,Organic,2018
14.67,253.01,0.0,1.54,1/21/2018,0.0,3078.86,3078.86,3346.54,9.0,0.0,Albany,Organic,2018
7.3,301.87,0.0,1.47,1/14/2018,0.0,3831.78,3831.78,4140.95,10.0,0.0,Albany,Organic,2018
43.51,412.17,0.0,1.54,1/7/2018,3.33,4357.89,4361.22,4816.9,11.0,0.0,Albany,Organic,2018
469.23,3942.82,0.0,1.56,3/25/2018,4906.58,9398.45,14305.03,18717.08,0.0,0.0,Atlanta,Organic,2018
626.28,5411.88,0.0,1.48,3/18/2018,3841.8,9134.72,12976.52,19014.68,1.0,0.0,Atlanta,Organic,2018
590.29,5224.55,0.0,1.43,3/11/2018,789.61,16438.54,17228.15,23042.99,2.0,0.0,Atlanta,Organic,2018
597.4,5315.48,0.0,1.66,3/4/2018,1477.15,9691.97,11169.12,17082.0,3.0,0.0,Atlanta,Organic,2018
530.19,5122.82,0.0,1.55,2/25/2018,630.13,9065.3,9695.43,15348.44,4.0,0.0,Atlanta,Organic,2018
429.96,4037.32,0.0,1.56,2/18/2018,777.34,5920.95,6698.29,11165.57,5.0,0.0,Atlanta,Organic,2018
384.86,3957.78,0.0,1.55,2/11/2018,3022.94,7478.35,10501.29,14843.93,6.0,0.0,Atlanta,Organic,2018
384.29,4042.55,0.0,1.62,2/4/2018,1741.59,5731.98,7473.57,11900.41,7.0,0.0,Atlanta,Organic,2018
390.17,5130.48,0.0,1.67,1/28/2018,3323.43,5602.18,8925.61,14446.26,8.0,0.0,Atlanta,Organic,2018
349.05,3967.66,0.0,1.64,1/21/2018,8033.83,6204.43,14238.26,18554.97,9.0,0.0,Atlanta,Organic,2018
291.55,3583.4,0.0,1.56,1/14/2018,5048.95,7227.8,12276.75,16151.7,10.0,0.0,Atlanta,Organic,2018
405.37,4195.19,0.0,1.53,1/7/2018,3229.94,7883.61,11113.55,15714.11,11.0,0.0,Atlanta,Organic,2018
2002.4,5548.18,82.68,1.33,3/25/2018,15.55,49957.61,49973.16,57606.42,0.0,0.0,Baltimore,Organic,2018
2132.2,6130.5,76.41,1.41,3/18/2018,8.49,37157.4,37165.89,45505.0,1.0,0.0,Baltimore,Organic,2018
1885.84,6874.81,96.69,1.44,3/11/2018,10.0,39177.43,39187.43,48044.77,2.0,0.0,Baltimore,Organic,2018
2360.2,6371.68,93.52,1.43,3/4/2018,0.0,34475.37,34475.37,43300.77,3.0,0.0,Baltimore,Organic,2018
1626.3,7913.27,49.45,1.47,2/25/2018,10.0,37822.13,37832.13,47421.15,4.0,0.0,Baltimore,Organic,2018
2125.96,12402.09,79.77,1.52,2/18/2018,28.89,36927.99,36956.88,51564.7,5.0,0.0,Baltimore,Organic,2018
1457.17,9060.57,68.22,1.53,2/11/2018,0.0,35769.73,35769.73,46355.69,6.0,0.0,Baltimore,Organic,2018
1201.51,7408.22,85.69,1.59,2/4/2018,15.56,32904.68,32920.24,41615.66,7.0,0.0,Baltimore,Organic,2018
1236.06,8807.18,147.27,1.55,1/28/2018,8.89,33859.68,33868.57,44059.08,8.0,0.0,Baltimore,Organic,2018
1450.87,9262.48,65.08,1.66,1/21/2018,4.44,27315.34,27319.78,38098.21,9.0,0.0,Baltimore,Organic,2018
1264.25,10025.87,105.72,1.39,1/14/2018,6.66,54746.77,54753.43,66149.27,10.0,0.0,Baltimore,Organic,2018
1315.95,9962.1,134.19,1.15,1/7/2018,6.67,70863.8,70870.47,82282.71,11.0,0.0,Baltimore,Organic,2018
76.12,1006.43,0.0,1.81,3/25/2018,1418.01,618.64,2036.65,3119.2,0.0,0.0,Boise,Organic,2018
89.14,898.36,0.0,1.85,3/18/2018,1258.17,287.9,1563.09,2550.59,1.0,17.02,Boise,Organic,2018
98.9,926.28,0.0,1.8,3/11/2018,1758.15,664.03,2422.18,3447.36,2.0,0.0,Boise,Organic,2018
109.72,904.11,0.0,1.79,3/4/2018,1440.21,526.56,1966.77,2980.6,3.0,0.0,Boise,Organic,2018
69.78,745.69,0.0,1.82,2/25/2018,1141.73,472.96,1614.69,2430.16,4.0,0.0,Boise,Organic,2018
72.52,810.01,0.0,1.82,2/18/2018,667.99,725.39,1393.38,2275.91,5.0,0.0,Boise,Organic,2018
46.25,791.61,0.0,1.8,2/11/2018,1351.09,666.38,2017.47,2855.33,6.0,0.0,Boise,Organic,2018
76.84,590.46,0.0,1.8,2/4/2018,1376.55,492.63,1927.6,2594.9,7.0,58.42,Boise,Organic,2018
52.42,580.64,0.0,1.78,1/28/2018,1490.43,294.66,1786.58,2419.64,8.0,1.49,Boise,Organic,2018
41.05,577.32,0.0,1.81,1/21/2018,1541.86,284.43,1827.76,2446.13,9.0,1.47,Boise,Organic,2018
51.93,802.89,0.0,1.81,1/14/2018,925.02,350.29,1275.31,2130.13,10.0,0.0,Boise,Organic,2018
42.6,949.08,0.0,1.77,1/7/2018,1010.16,552.06,1562.22,2553.9,11.0,0.0,Boise,Organic,2018
27.25,2031.54,0.0,1.74,3/25/2018,6915.49,29466.95,36382.44,38441.23,0.0,0.0,Boston,Organic,2018
20.31,2456.48,0.0,1.83,3/18/2018,7238.46,25094.65,32333.11,34809.9,1.0,0.0,Boston,Organic,2018
8.51,2114.28,0.0,1.85,3/11/2018,5620.92,22732.95,28353.87,30476.66,2.0,0.0,Boston,Organic,2018
7.84,2254.05,0.0,1.92,3/4/2018,2992.35,18636.4,21628.75,23890.64,3.0,0.0,Boston,Organic,2018
34.89,2390.82,0.0,1.79,2/25/2018,4072.25,25069.34,29141.59,31567.3,4.0,0.0,Boston,Organic,2018
11.63,1603.22,0.0,1.83,2/18/2018,3407.63,22938.29,26345.92,27960.77,5.0,0.0,Boston,Organic,2018
3.67,1795.79,3.67,1.85,2/11/2018,3557.37,19367.62,22924.99,24728.12,6.0,0.0,Boston,Organic,2018
9.14,2504.27,3.66,1.83,2/4/2018,5756.0,20660.94,26416.94,28934.01,7.0,0.0,Boston,Organic,2018
14.65,1628.45,0.0,1.72,1/28/2018,1327.02,27876.23,29203.25,30846.35,8.0,0.0,Boston,Organic,2018
60.87,2647.48,0.0,1.82,1/21/2018,2011.6,21985.03,23996.63,26704.98,9.0,0.0,Boston,Organic,2018
12.77,2380.23,0.0,1.73,1/14/2018,3148.6,23926.76,27075.36,29468.36,10.0,0.0,Boston,Organic,2018
14.46,2704.48,0.0,1.91,1/7/2018,2255.53,25121.53,27377.06,30096.0,11.0,0.0,Boston,Organic,2018
241.71,425.31,0.0,1.03,3/25/2018,11793.72,25743.24,37536.96,38203.98,0.0,0.0,Buffalo,Organic,2018
558.54,106.27,0.0,1.17,3/18/2018,11177.67,4270.87,15448.54,16113.35,1.0,0.0,Buffalo,Organic,2018
763.9,91.2,0.0,1.24,3/11/2018,10765.06,1124.44,11889.5,12744.6,2.0,0.0,Buffalo,Organic,2018
1197.38,159.65,0.0,1.38,3/4/2018,6329.37,894.23,7223.6,8580.63,3.0,0.0,Buffalo,Organic,2018
761.52,168.93,0.0,1.27,2/25/2018,7900.35,2567.55,10467.9,11398.35,4.0,0.0,Buffalo,Organic,2018
542.58,103.62,0.0,1.23,2/18/2018,6201.38,5283.46,11484.84,12131.04,5.0,0.0,Buffalo,Organic,2018
169.08,138.02,0.0,1.21,2/11/2018,6530.49,2907.29,9437.78,9744.88,6.0,0.0,Buffalo,Organic,2018
204.51,181.6,0.0,1.18,2/4/2018,9717.8,4203.8,13921.6,14307.71,7.0,0.0,Buffalo,Organic,2018
232.33,150.46,0.0,1.17,1/28/2018,1963.93,11059.23,13023.16,13405.95,8.0,0.0,Buffalo,Organic,2018
309.8,119.81,0.0,1.23,1/21/2018,3277.57,3581.4,6858.97,7288.58,9.0,0.0,Buffalo,Organic,2018
318.7,133.26,0.0,1.19,1/14/2018,7164.81,3248.18,10412.99,10864.95,10.0,0.0,Buffalo,Organic,2018
